"Statistic","Year","Area of Origin","UNIT","VALUE"
"Materials for Agriculture Production","1954","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1954","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1955","All Countries","Euro Thousand","12678"
"Materials for Agriculture Production","1955","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1955","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1955","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1956","All Countries","Euro Thousand","11072"
"Materials for Agriculture Production","1956","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1956","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1956","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1957","All Countries","Euro Thousand","13656"
"Materials for Agriculture Production","1957","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1957","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1957","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1958","All Countries","Euro Thousand","15502"
"Materials for Agriculture Production","1958","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1958","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1958","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1959","All Countries","Euro Thousand","16937"
"Materials for Agriculture Production","1959","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1959","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1959","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1960","All Countries","Euro Thousand","14969"
"Materials for Agriculture Production","1960","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1960","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1960","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1961","All Countries","Euro Thousand","17070"
"Materials for Agriculture Production","1961","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1961","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1961","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1962","All Countries","Euro Thousand","20022"
"Materials for Agriculture Production","1962","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1962","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1962","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1963","All Countries","Euro Thousand","21437"
"Materials for Agriculture Production","1963","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1963","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1963","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1964","All Countries","Euro Thousand","20989"
"Materials for Agriculture Production","1964","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1964","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1964","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1965","All Countries","Euro Thousand","22608"
"Materials for Agriculture Production","1965","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1965","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1965","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1966","All Countries","Euro Thousand","19303"
"Materials for Agriculture Production","1966","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1966","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1966","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1967","All Countries","Euro Thousand","21629"
"Materials for Agriculture Production","1967","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1967","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1967","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1968","All Countries","Euro Thousand","28682"
"Materials for Agriculture Production","1968","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1968","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1968","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1969","All Countries","Euro Thousand","26281"
"Materials for Agriculture Production","1969","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1969","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1969","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1970","All Countries","Euro Thousand","32188"
"Materials for Agriculture Production","1970","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Agriculture Production","1970","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1970","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Agriculture Production","1971","All Countries","Euro Thousand","31968"
"Materials for Agriculture Production","1971","European Union - 27 countries (from 2020)","Euro Thousand",""
